datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,pocet_nakazenych,pocet_vylecenych,pocet_umrti,pocet_testu,procent_nakazenych
2020-01-27,0,0,0,20,0,0,0,20,0.0
2020-01-28,0,0,0,28,0,0,0,8,0.0
2020-01-29,0,0,0,33,0,0,0,5,0.0
2020-01-30,0,0,0,34,0,0,0,1,0.0
2020-01-31,0,0,0,37,0,0,0,3,0.0
2020-02-01,0,0,0,38,0,0,0,1,0.0
2020-02-02,0,0,0,43,0,0,0,5,0.0
2020-02-03,0,0,0,48,0,0,0,5,0.0
2020-02-04,0,0,0,53,0,0,0,5,0.0
2020-02-05,0,0,0,53,0,0,0,0,0.0
2020-02-06,0,0,0,56,0,0,0,3,0.0
2020-02-07,0,0,0,62,0,0,0,6,0.0
2020-02-08,0,0,0,62,0,0,0,0,0.0
2020-02-09,0,0,0,64,0,0,0,2,0.0
2020-02-10,0,0,0,72,0,0,0,8,0.0
2020-02-11,0,0,0,74,0,0,0,2,0.0
2020-02-12,0,0,0,75,0,0,0,1,0.0
2020-02-13,0,0,0,76,0,0,0,1,0.0
2020-02-14,0,0,0,76,0,0,0,0,0.0
2020-02-15,0,0,0,77,0,0,0,1,0.0
2020-02-16,0,0,0,78,0,0,0,1,0.0
2020-02-17,0,0,0,80,0,0,0,2,0.0
2020-02-18,0,0,0,80,0,0,0,0,0.0
2020-02-19,0,0,0,82,0,0,0,2,0.0
2020-02-20,0,0,0,82,0,0,0,0,0.0
2020-02-21,0,0,0,82,0,0,0,0,0.0
2020-02-22,0,0,0,83,0,0,0,1,0.0
2020-02-23,0,0,0,86,0,0,0,3,0.0
2020-02-24,0,0,0,98,0,0,0,12,0.0
2020-02-25,0,0,0,112,0,0,0,14,0.0
2020-02-26,0,0,0,135,0,0,0,23,0.0
2020-02-27,0,0,0,170,0,0,0,35,0.0
2020-02-28,0,0,0,193,0,0,0,23,0.0
2020-02-29,0,0,0,200,0,0,0,7,0.0
2020-03-01,3,0,0,211,3,0,0,11,27.27272727272727
2020-03-02,3,0,0,262,0,0,0,51,0.0
2020-03-03,5,0,0,340,2,0,0,78,2.564102564102564
2020-03-04,6,0,0,407,1,0,0,67,1.4925373134328357
2020-03-05,9,0,0,483,3,0,0,76,3.9473684210526314
2020-03-06,20,0,0,594,11,0,0,111,9.90990990990991
2020-03-07,27,0,0,787,7,0,0,193,3.6269430051813467
2020-03-08,33,0,0,928,6,0,0,141,4.25531914893617
2020-03-09,39,0,0,1193,6,0,0,265,2.2641509433962264
2020-03-10,64,0,0,1358,25,0,0,165,15.151515151515152
2020-03-11,95,0,0,1816,31,0,0,458,6.768558951965066
2020-03-12,117,0,0,2353,22,0,0,537,4.0968342644320295
2020-03-13,142,0,0,3198,25,0,0,845,2.9585798816568047
2020-03-14,190,1,0,4184,48,1,0,986,4.86815415821501
2020-03-15,299,5,0,5212,109,4,0,1028,10.603112840466926
2020-03-16,384,5,0,6531,85,0,0,1319,6.444275966641396
2020-03-17,451,5,0,7825,67,0,0,1294,5.17774343122102
2020-03-18,561,5,0,9581,110,0,0,1756,6.264236902050115
2020-03-19,767,6,0,11840,206,1,0,2259,9.11907923860115
2020-03-20,891,9,0,13961,124,3,0,2121,5.846298915605846
2020-03-21,1050,14,0,15843,159,5,0,1882,8.448459086078639
