region;language;types;count
JP;en;working;83
TH;en;\N;110
FI;fi;\N;4
IL;ar;alternative;3
AE;\N;\N;1426
NG;\N;imdbDisplay;1
MD;\N;alternative;2
US;\N;alternative;16934
\N;\N;dvd;63
JP;\N;working;338
UY;\N;imdbDisplay;953
CSHH;cs;alternative;17
YUCS;qbo;imdbDisplay;4
CA;en;festival;265
ES;gl;\N;88
GB;\N;videoworking;2
DDDE;\N;festival;7
ES;eu;festival;5
ZA;st;\N;1
CZ;\N;festival;211
ID;id;video;3
GR;\N;working;42
BO;\N;dvd;1
XWW;\N;original;1
DK;en;working;1
CSHH;sk;imdbDisplay;325
BE;de;imdbDisplay;18
CH;gsw;imdbDisplay;19
CO;es;imdbDisplay;5
RU;\N;video;102
CZ;\N;video;19
KR;\N;dvd;14
IE;ga;working;6
XSA;\N;imdbDisplay;1
SG;cmn;working;1
ES;qbp;imdbDisplay;332
DK;\N;dvd;259
CA;fr;working;161
JM;en;working;2
GL;\N;video;1
PY;es;video;1
YUCS;sr;working;2
XWG;\N;video;1069
JP;en;imdbDisplay;2437
RU;\N;dvd;14
DO;\N;imdbDisplay;32
US;es;working;7
BE;fr;video;74
PA;es;imdbDisplay;1
IN;te;alternative;107
IR;en;working;1
TN;ar;video;1
FI;sv;\N;2030
TR;tr;\N;2771
FI;\N;dvd;623
CH;de;\N;334
CH;de;imdbDisplay;213
EE;\N;dvd;18
IN;mr;imdbDisplay;56
EG;en;video;1
SUHH;ru;festival;2
SH;\N;\N;2
LU;fr;festival;1
XEU;en;imdbDisplay;538
XWW;es;\N;203
AU;\N;working;566
RS;\N;\N;3089
PR;\N;imdbDisplay;23
MA;fr;\N;12
IN;bn;imdbDisplay;114
VE;es;imdbDisplay;4
IN;en;dvd;2
VC;\N;\N;8
BF;\N;alternative;3
XWW;es;working;6
ZM;en;working;1
CH;\N;imdbDisplay;1
RU;ru;alternative;1
US;es;festival;1
CL;cmn;imdbDisplay;1
HR;\N;alternative;139
SE;\N;tv;416
JP;ja;video;57
GL;\N;imdbDisplay;10
DZ;\N;\N;345
HR;\N;video;8
NP;\N;imdbDisplay;10
NU;\N;\N;1
FR;\N;working;1647
GB;\N;video;656
US;yi;imdbDisplay;2
PT;\N;tv;98
KG;\N;\N;112
UZ;\N;\N;130
CSHH;cs;festival;7
SG;en;video;1
CA;\N;festival;1
CR;es;\N;1
US;\N;imdbDisplay;64053
AR;\N;\N;32794
FR;\N;dvd;1446
AT;\N;working;113
CH;gsw;working;1
IT;it;\N;2780629
\N;\N;tv;19
XEU;\N;festival;17
SUHH;hy;alternative;4
NZ;\N;festival;1
SI;sl;working;2
BR;\N;original;1
HU;\N;imdbDisplay;45811
NL;\N;\N;29965
IN;ta;imdbDisplay;212
IT;\N;tvvideo;1
LI;\N;imdbDisplay;12
BUMM;my;imdbDisplay;1
ZA;en;video;9
GW;\N;\N;14
UA;uk;imdbDisplay;4
CV;\N;\N;18
SB;\N;\N;4
AE;en;working;1
CZ;\N;\N;8223
IN;en;alternative;184
ZA;af;\N;44
LU;\N;\N;539
US;\N;tvvideo;4
TR;tr;dvdimdbDisplay;245
NZ;en;working;30
GR;en;imdbDisplay;2
PH;es;\N;9
VN;vi;imdbDisplay;1
CH;de;alternative;74
BR;\N;festival;809
PH;tl;\N;640
CH;en;video;3
RS;\N;video;3
CZ;\N;working;69
IN;pa;imdbDisplay;1
LK;ta;imdbDisplay;1
IE;en;dvd;2
SG;cmn;tv;1
XWW;es;alternative;133
JP;ja;alternative;805
FR;fr;alternative;5
ID;id;dvd;1
SUHH;ru;video;4
CN;en;\N;3
PK;pa;imdbDisplay;5
BR;\N;imdbDisplay;51399
JP;en;alternative;1210
MY;ms;imdbDisplay;83
DZ;fr;\N;13
HK;en;alternative;472
XEU;\N;video;7
CH;gsw;alternative;13
ZRCD;\N;\N;5
CSXX;\N;\N;115
PK;ur;alternative;9
AW;\N;imdbDisplay;1
PH;en;\N;1441
PY;es;imdbDisplay;23
XWW;la;\N;32
TR;\N;\N;14845
PR;\N;alternative;27
MG;\N;\N;42
PR;\N;festival;1
EH;\N;\N;2
TR;en;imdbDisplay;1
DE;\N;alternative;3498
GR;\N;festival;2473
XWG;\N;working;567
TN;fr;imdbDisplay;502
HK;\N;\N;4221
KG;\N;imdbDisplay;17
BA;hr;working;3
DO;\N;working;51
SK;sk;\N;1
PL;\N;imdbDisplay;44315
GB;fr;\N;1
CN;yue;\N;63
BA;sr;imdbDisplay;106
IN;hi;working;89
BE;\N;festival;3
CA;\N;alternative;3
US;es;imdbDisplay;50
IN;\N;imdbDisplay;26
JP;\N;tv;42
CI;\N;\N;103
ET;\N;\N;116
XEU;en;dvd;54
PY;\N;\N;260
DDDE;\N;dvd;1
YUCS;sr;alternative;1
SA;\N;\N;398
MW;\N;\N;22
PA;\N;festival;1
VU;\N;\N;6
GB;en;dvd;2
JP;ja;imdbDisplay;68950
AZ;\N;imdbDisplay;303
JP;en;tv;5
IS;\N;alternative;21
YUCS;\N;\N;639
NG;en;working;2
XWW;la;working;3
TN;fr;working;1
FI;sv;working;25
CN;cmn;tv;126
IL;\N;\N;3503
CSHH;cs;video;3
AF;\N;imdbDisplay;3
BA;hr;festival;6
IN;gu;alternative;4
KZ;kk;imdbDisplay;1
ES;\N;dvd;802
US;\N;working;19826
PH;en;imdbDisplay;408
ES;ca;working;9
LB;fr;imdbDisplay;68
RS;sr;tv;1
EG;en;festival;1
MA;ar;alternative;5
NO;en;imdbDisplay;4
CA;\N;working;6
NP;ne;imdbDisplay;1
CA;en;imdbDisplay;33350
HK;cmn;imdbDisplay;2692
TR;tr;working;50
XYU;sr;video;3
GE;\N;video;2
IN;en;tv;2
SN;wo;imdbDisplay;2
DE;en;alternative;1
NO;\N;\N;13168
IT;\N;dvd;536
SK;\N;alternative;97
ES;\N;working;505
IN;bn;\N;89
HR;\N;tv;31
BE;qbn;festival;3
ES;qbp;working;6
RO;en;alternative;1
BE;qbn;imdbDisplay;2030
RO;\N;alternative;529
CL;es;\N;4
AR;\N;working;148
NL;\N;tv;56
BO;\N;\N;467
EC;\N;alternative;12
SG;en;alternative;139
TM;\N;alternative;2
SI;\N;imdbDisplay;5927
PE;\N;\N;2223
IL;he;alternative;180
FR;fr;imdbDisplay;61
CH;de;dvd;32
JM;en;video;1
KZ;\N;working;2
BO;es;\N;1
ES;\N;alternative;2055
PE;\N;video;6
IN;ur;alternative;5
IN;ta;working;58
HN;\N;\N;115
EG;en;tv;2
BG;en;imdbDisplay;1
BD;en;festival;1
XWW;en;alternative;12249
XSA;es;alternative;16
UY;es;\N;6
HR;hr;imdbDisplay;3
SUHH;az;imdbDisplay;52
PL;\N;working;111
XYU;hr;\N;52
MT;\N;\N;332
CO;\N;dvd;7
CSHH;\N;tv;1
US;cr;working;1
JE;\N;\N;1
\N;\N;alternative;1930
XWG;de;imdbDisplay;4
GE;\N;tv;2
SG;en;imdbDisplay;221
CL;\N;festival;77
MX;es;alternative;2
NA;\N;\N;95
XWW;es;tv;1
SD;su;\N;1
IN;mr;alternative;5
US;en;alternative;32
CH;en;festival;7
IN;en;working;80
CH;en;alternative;23
SUHH;lt;\N;1
XAS;en;working;6
LI;\N;alternative;1
CA;fr;alternative;499
US;es;tv;4
IE;en;festival;5
BY;be;imdbDisplay;1
SG;cmn;dvd;1
GB;\N;imdbDisplay;81447
CO;\N;imdbDisplay;2844
XWW;en;tv;51
AR;\N;festival;955
NZ;en;\N;156
KR;\N;\N;13402
XEU;en;working;45
HK;cmn;video;33
IR;fa;working;39
XYU;sr;dvd;1
XAS;en;festival;7
LV;\N;tv;1
KY;\N;\N;39
RS;en;imdbDisplay;1
ET;en;working;1
BE;nl;working;1
RU;\N;imdbDisplay;60489
SE;\N;alternative;792
DDDE;\N;imdbDisplay;1497
TR;tr;tv;74
BA;sr;alternative;8
KE;\N;\N;471
RE;\N;\N;21
DK;\N;working;274
SUHH;ka;\N;34
ID;en;\N;92
HK;en;imdbDisplay;2548
SG;en;festival;12
SUHH;tg;\N;1
IR;en;\N;1
TH;en;video;2
BR;pt;\N;20
XWG;\N;alternative;827
VE;\N;alternative;44
SUHH;hy;\N;15
SG;ms;imdbDisplay;5
KZ;\N;imdbDisplay;83
TW;\N;video;16
AM;\N;alternative;5
SUHH;en;\N;4
SI;\N;alternative;106
EC;\N;\N;713
LA;\N;\N;72
IN;ml;alternative;30
TN;ar;alternative;22
KM;\N;\N;5
PE;\N;imdbDisplay;4376
CU;\N;\N;2063
TW;en;imdbDisplay;10
HU;\N;\N;17648
CA;\N;\N;91151
CA;en;alternative;468
CO;\N;alternative;119
GR;el;alternative;2
CR;\N;imdbDisplay;40
XAS;en;alternative;61
MZ;pt;\N;3
BE;en;alternative;54
GB;cy;tv;1
BZ;en;\N;1
KH;\N;imdbDisplay;2
FI;sv;tv;441
XYU;hr;imdbDisplay;1113
SUHH;lt;imdbDisplay;12
