movieId|title|genre|overview|poster_path|imdbId
1|Toy Story|Animation|Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.|/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg|tt0114709
2|Jumanji|Adventure|When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.|/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg|tt0113497
3|Grumpier Old Men|Romance|A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.|/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg|tt0113228
4|Waiting to Exhale|Comedy|"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."|/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg|tt0114885
5|Father of the Bride Part II|Comedy|Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.|/lf9RTErt8BSLQy98aSFblElvsCQ.jpg|tt0113041
6|Heat|Action|Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.|/lbf2ueoiEfKIJr2qlT01zIEckbC.jpg|tt0113277
7|Sabrina|Comedy|An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.|/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg|tt0114319
8|Tom and Huck|Action|A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.|/6yoxUnUnWVmWkrRBPCAFARctZDF.jpg|tt0112302
9|Sudden Death|Action|When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.|/gV1VTRjT0hFjUxvs6vmfjR1ueoP.jpg|tt0114576
10|GoldenEye|Adventure|When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from an awesome space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Trevelyan's stunning ally, Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.|/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg|tt0113189
11|The American President|Comedy|Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.|/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg|tt0112346
12|Dracula: Dead and Loving It|Comedy|When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.|/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg|tt0112896
13|Balto|Animation|An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.|/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg|tt0112453
14|Nixon|History|An epic look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.|/yzMSdrThWAyDehVGjiAkKS2IGSa.jpg|tt0113987
15|Cutthroat Island|Action|Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.|/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg|tt0112760
16|Casino|Crime|"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger."|/e2LGqjoQhUSfM8uSFLuBPrXtg4A.jpg|tt0112641
17|Sense and Sensibility|Drama|Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.|/1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg|tt0114388
18|Four Rooms|Crime|It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.|/xhU6hPDnk4s8iWWKoq4oEmNI600.jpg|tt0113101
