,A,Z,0,Schůze,Č. hl.,Klub,Total,M,N
0,74.0,2.0,2.0,1,1,ANO,78,0.0,0.0
1,24.0,0.0,1.0,1,1,ODS,25,0.0,0.0
2,22.0,0.0,0.0,1,1,Piráti,22,0.0,0.0
3,22.0,0.0,0.0,1,1,SPD,22,0.0,0.0
4,13.0,2.0,0.0,1,1,ČSSD,15,0.0,0.0
5,14.0,0.0,0.0,1,1,KSČM,15,1.0,0.0
6,9.0,1.0,0.0,1,1,KDU-ČSL,10,0.0,0.0
7,7.0,0.0,0.0,1,1,TOP09,7,0.0,0.0
8,6.0,0.0,0.0,1,1,STAN,6,0.0,0.0
10,75.0,2.0,1.0,1,2,ANO,78,0.0,0.0
11,25.0,0.0,0.0,1,2,ODS,25,0.0,0.0
12,22.0,0.0,0.0,1,2,Piráti,22,0.0,0.0
13,22.0,0.0,0.0,1,2,SPD,22,0.0,0.0
14,14.0,1.0,0.0,1,2,ČSSD,15,0.0,0.0
15,14.0,0.0,0.0,1,2,KSČM,15,1.0,0.0
16,9.0,1.0,0.0,1,2,KDU-ČSL,10,0.0,0.0
17,7.0,0.0,0.0,1,2,TOP09,7,0.0,0.0
18,6.0,0.0,0.0,1,2,STAN,6,0.0,0.0
20,0.0,1.0,1.0,1,3,ANO,78,0.0,76.0
21,21.0,3.0,0.0,1,3,ODS,25,0.0,1.0
22,0.0,0.0,0.0,1,3,Piráti,22,0.0,22.0
23,1.0,1.0,0.0,1,3,SPD,22,0.0,20.0
24,8.0,2.0,0.0,1,3,ČSSD,15,0.0,5.0
25,0.0,10.0,0.0,1,3,KSČM,15,1.0,4.0
26,10.0,0.0,0.0,1,3,KDU-ČSL,10,0.0,0.0
27,5.0,1.0,0.0,1,3,TOP09,7,0.0,1.0
28,5.0,1.0,0.0,1,3,STAN,6,0.0,0.0
30,0.0,1.0,0.0,1,4,ANO,78,0.0,77.0
31,8.0,13.0,0.0,1,4,ODS,25,0.0,4.0
32,22.0,0.0,0.0,1,4,Piráti,22,0.0,0.0
33,0.0,14.0,0.0,1,4,SPD,22,0.0,8.0
34,5.0,4.0,0.0,1,4,ČSSD,15,0.0,6.0
35,0.0,9.0,0.0,1,4,KSČM,15,1.0,5.0
36,10.0,0.0,0.0,1,4,KDU-ČSL,10,0.0,0.0
37,6.0,1.0,0.0,1,4,TOP09,7,0.0,0.0
38,5.0,1.0,0.0,1,4,STAN,6,0.0,0.0
40,77.0,1.0,0.0,1,5,ANO,78,0.0,0.0
41,25.0,0.0,0.0,1,5,ODS,25,0.0,0.0
42,0.0,4.0,0.0,1,5,Piráti,22,0.0,18.0
43,22.0,0.0,0.0,1,5,SPD,22,0.0,0.0
44,14.0,1.0,0.0,1,5,ČSSD,15,0.0,0.0
45,14.0,0.0,0.0,1,5,KSČM,15,1.0,0.0
46,10.0,0.0,0.0,1,5,KDU-ČSL,10,0.0,0.0
47,6.0,0.0,0.0,1,5,TOP09,7,0.0,1.0
48,6.0,0.0,0.0,1,5,STAN,6,0.0,0.0
50,78.0,0.0,0.0,1,6,ANO,78,0.0,0.0
51,25.0,0.0,0.0,1,6,ODS,25,0.0,0.0
52,20.0,0.0,1.0,1,6,Piráti,22,1.0,0.0
53,22.0,0.0,0.0,1,6,SPD,22,0.0,0.0
54,10.0,1.0,3.0,1,6,ČSSD,15,1.0,0.0
55,14.0,0.0,1.0,1,6,KSČM,15,0.0,0.0
56,8.0,0.0,2.0,1,6,KDU-ČSL,10,0.0,0.0
57,6.0,0.0,1.0,1,6,TOP09,7,0.0,0.0
58,6.0,0.0,0.0,1,6,STAN,6,0.0,0.0
60,78.0,0.0,0.0,1,7,ANO,78,0.0,0.0
61,0.0,1.0,1.0,1,7,ODS,25,0.0,23.0
62,0.0,0.0,0.0,1,7,Piráti,22,0.0,22.0
63,22.0,0.0,0.0,1,7,SPD,22,0.0,0.0
64,0.0,11.0,3.0,1,7,ČSSD,15,1.0,0.0
65,15.0,0.0,0.0,1,7,KSČM,15,0.0,0.0
66,0.0,0.0,0.0,1,7,KDU-ČSL,10,0.0,10.0
67,0.0,1.0,1.0,1,7,TOP09,7,0.0,5.0
68,0.0,0.0,0.0,1,7,STAN,6,0.0,6.0
70,75.0,3.0,0.0,1,8,ANO,78,0.0,0.0
71,25.0,0.0,0.0,1,8,ODS,25,0.0,0.0
72,20.0,1.0,0.0,1,8,Piráti,22,0.0,1.0
73,22.0,0.0,0.0,1,8,SPD,22,0.0,0.0
74,9.0,3.0,2.0,1,8,ČSSD,15,1.0,0.0
